tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
3023,cust_MockBrandB_290,True,2019-05-26 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",3024.0,
2020,cust_MockBrandA_1094,True,2019-07-26 12:00:00,I have been transferred between 4 different agents and none of you are resolving my case.,2021.0,
948,@MockBrandASupport,False,2019-05-12 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,947.0
2216,@MockBrandASupport,False,2019-01-13 12:30:00,Apologies for the delay! Please DM your order number and zip code so we can trace the package with the carrier.,,2215.0
305,cust_MockBrandA_167,True,2019-02-22 12:00:00,Want to cancel my auto-renew membership with MockBrandA.,306.0,
2172,cust_MockBrandA_1175,True,2019-02-18 12:00:00,"Waiting on hold for 2 hours for order #65977, absolutely unacceptable support.",2173.0,
1274,cust_MockBrandA_688,True,2019-01-13 12:00:00,Courier delivered my package for order #76412 to the wrong street address.,1275.0,
1395,cust_MockBrandA_753,True,2019-08-13 12:00:00,"Support promised my refund for #10433 in 3 days, it has been two weeks now.",1396.0,
270,@MockBrandASupport,False,2019-02-13 12:30:00,"Thanks for flagging this - please try updating to the latest app version, and DM us your device model if the crash continues.",,269.0
556,@MockBrandASupport,False,2019-07-23 12:30:00,"Thanks for flagging this - please try updating to the latest app version, and DM us your device model if the crash continues.",,555.0
2794,cust_MockBrandB_166,True,2019-02-22 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",2795.0,
1472,cust_MockBrandA_796,True,2019-02-14 12:00:00,Why does the MockBrandA app keep logging me out every 5 minutes?,1473.0,
1834,@MockBrandASupport,False,2019-06-16 12:30:00,"Thanks for flagging this - please try updating to the latest app version, and DM us your device model if the crash continues.",,1833.0
1456,cust_MockBrandA_787,True,2019-08-10 12:00:00,How do I cancel my MockBrandA subscription? Can't find the option anywhere.,1457.0,
2941,cust_MockBrandB_245,True,2019-05-28 12:00:00,Does MockBrandB support exporting my data to CSV?,2942.0,
381,cust_MockBrandA_209,True,2019-06-21 12:00:00,I got charged a monthly renewal fee of $40.99 even though I paused my subscription.,382.0,
2919,cust_MockBrandB_233,True,2019-06-14 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",2920.0,
108,@MockBrandASupport,False,2019-04-15 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,107.0
2211,cust_MockBrandA_1196,True,2019-03-16 12:00:00,I have been transferred between 4 different agents and none of you are resolving my case.,2212.0,
1553,@MockBrandASupport,False,2019-02-20 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,1552.0
1999,@MockBrandASupport,False,2019-02-19 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,1998.0
1803,cust_MockBrandA_972,True,2019-06-23 12:00:00,"Fourth time reporting this bug where order #15896 keeps failing, fix your platform!",1804.0,
3142,@MockBrandBCare,False,2019-03-12 12:30:00,We're aware of an iOS 17 issue - please try reinstalling the latest build. DM your device model if it persists.,,3141.0
196,cust_MockBrandA_108,True,2019-05-26 12:00:00,Saw an unexpected extra fee of $29.99 on my latest MockBrandA invoice.,197.0,
2395,cust_MockBrandA_1299,True,2019-06-27 12:00:00,"Support promised my refund for #32307 in 3 days, it has been two weeks now.",2396.0,
1743,@MockBrandASupport,False,2019-02-13 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,1742.0
2822,@MockBrandBCare,False,2019-07-14 12:30:00,We're sorry this keeps happening. DM your case number so we can escalate internally.,,2821.0
3155,cust_MockBrandB_363,True,2019-03-13 12:00:00,"Third time contacting MockBrandB about the same bug, no fix yet.",3156.0,
1402,cust_MockBrandA_757,True,2019-04-25 12:00:00,I got charged a monthly renewal fee of $34.99 even though I paused my subscription.,1403.0,
3212,@MockBrandBCare,False,2019-03-28 12:30:00,"Sorry about that! Please clear your app cache and reinstall - if the issue continues, DM your account email.",,3211.0
2445,@MockBrandASupport,False,2019-07-21 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,2444.0
2808,@MockBrandBCare,False,2019-05-11 12:30:00,Sorry for the delay - DM your order number so we can chase this with our logistics partner.,,2807.0
1598,@MockBrandASupport,False,2019-02-28 12:30:00,You can cancel anytime from Account > Subscription > Cancel. DM us if you don't see that option and we'll help directly.,,1597.0
2155,cust_MockBrandA_1166,True,2019-09-25 12:00:00,"Tracking says delivery attempted for order #25570, but I was home all day.",2156.0,
2373,@MockBrandASupport,False,2019-06-23 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,2372.0
3120,cust_MockBrandB_344,True,2019-01-11 12:00:00,"Third time contacting MockBrandB about the same bug, no fix yet.",3121.0,
727,cust_MockBrandA_397,True,2019-06-25 12:00:00,"I demand to speak to a real human supervisor right now, your automated bots are useless!",728.0,
1848,cust_MockBrandA_999,True,2019-04-20 12:00:00,"Cancel button is disabled in my account settings, please assist.",1849.0,
2663,@MockBrandBCare,False,2019-09-12 12:30:00,We're sorry this keeps happening. DM your case number so we can escalate internally.,,2662.0
2650,@MockBrandBCare,False,2019-05-23 12:30:00,Yes! You can export data from Settings > Data > Export CSV.,,2649.0
540,@MockBrandASupport,False,2019-04-16 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,539.0
1252,@MockBrandASupport,False,2019-08-24 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,1251.0
2360,cust_MockBrandA_1281,True,2019-04-10 12:00:00,MockBrandA billed my credit card after I switched payment methods.,2361.0,
2001,@MockBrandASupport,False,2019-05-24 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,2000.0
2848,@MockBrandBCare,False,2019-04-14 12:30:00,Yes! You can export data from Settings > Data > Export CSV.,,2847.0
2053,cust_MockBrandA_1111,True,2019-06-22 12:00:00,MockBrandA website checkout is throwing a 500 error on step 3.,2054.0,
2105,cust_MockBrandA_1139,True,2019-02-18 12:00:00,"If MockBrandA does not resolve this unauthorized charge of $61.99, I will pursue legal action with my lawyer.",2106.0,
910,cust_MockBrandA_498,True,2019-05-14 12:00:00,"Returned my package 10 days ago for order #44993, when will my refund be credited?",911.0,
591,@MockBrandASupport,False,2019-09-14 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,590.0
1102,cust_MockBrandA_599,True,2019-01-23 12:00:00,"I can't log into my MockBrandA account, it keeps saying invalid password even after reset.",1103.0,
2584,cust_MockBrandB_54,True,2019-02-26 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",2585.0,
1246,@MockBrandASupport,False,2019-06-28 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,1245.0
324,@MockBrandASupport,False,2019-06-11 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,323.0
907,@MockBrandASupport,False,2019-07-27 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,906.0
3140,@MockBrandBCare,False,2019-09-11 12:30:00,"Sorry about that! Please clear your app cache and reinstall - if the issue continues, DM your account email.",,3139.0
1990,@MockBrandASupport,False,2019-03-16 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,1989.0
78,cust_MockBrandA_42,True,2019-09-14 12:00:00,"Order #14722 never arrived and support keeps closing my ticket without a refund, 3rd time asking.",79.0,
1650,cust_MockBrandA_891,True,2019-09-23 12:00:00,"Your product arrived broken for order #25381, cancel my recurring contract immediately.",1651.0,
2438,cust_MockBrandA_1322,True,2019-08-25 12:00:00,Why was I billed $48.99 when my plan is supposed to be $26.99?,2439.0,
1361,cust_MockBrandA_734,True,2019-01-20 12:00:00,My MockBrandA order #73559 says delivered but I never received it.,1362.0,
1742,cust_MockBrandA_940,True,2019-01-24 12:00:00,MockBrandA billed my credit card after I switched payment methods.,1743.0,
313,cust_MockBrandA_172,True,2019-08-19 12:00:00,MockBrandA billed my credit card after I switched payment methods.,314.0,
2645,cust_MockBrandB_87,True,2019-07-28 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",2646.0,
908,cust_MockBrandA_497,True,2019-02-10 12:00:00,Where is my order #65363? Estimated delivery date was 4 days ago.,909.0,
1905,cust_MockBrandA_1029,True,2019-01-24 12:00:00,"MockBrandA charged me for a renewal after I already cancelled, and now the app won't even load.",1906.0,
913,cust_MockBrandA_500,True,2019-09-19 12:00:00,"If MockBrandA does not resolve this unauthorized charge of $59.99, I will pursue legal action with my lawyer.",914.0,
2217,cust_MockBrandA_1199,True,2019-01-11 12:00:00,Search bar on MockBrandA website is broken and returns 0 results for everything.,2218.0,
585,@MockBrandASupport,False,2019-06-27 12:30:00,You can cancel anytime from Account > Subscription > Cancel. DM us if you don't see that option and we'll help directly.,,584.0
2769,cust_MockBrandB_152,True,2019-04-18 12:00:00,Does MockBrandB support exporting my data to CSV?,2770.0,
1079,cust_MockBrandA_587,True,2019-03-15 12:00:00,Search bar on MockBrandA website is broken and returns 0 results for everything.,1080.0,
361,cust_MockBrandA_198,True,2019-05-10 12:00:00,MockBrandA login button spins endlessly and never loads my profile.,362.0,
1324,@MockBrandASupport,False,2019-03-19 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,1323.0
2387,@MockBrandASupport,False,2019-07-11 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,2386.0
2648,@MockBrandBCare,False,2019-08-22 12:30:00,Yes! You can export data from Settings > Data > Export CSV.,,2647.0
357,cust_MockBrandA_195,True,2019-07-10 12:00:00,"Your product arrived broken for order #41711, cancel my recurring contract immediately.",358.0,
2122,@MockBrandASupport,False,2019-03-22 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,2121.0
1933,@MockBrandASupport,False,2019-06-26 12:30:00,So sorry for the wait. Please DM your order number and we'll escalate the refund to our billing team right away.,,1932.0
1610,@MockBrandASupport,False,2019-05-15 12:30:00,You can cancel anytime from Account > Subscription > Cancel. DM us if you don't see that option and we'll help directly.,,1609.0
1719,cust_MockBrandA_927,True,2019-03-24 12:00:00,Want to cancel my auto-renew membership with MockBrandA.,1720.0,
550,cust_MockBrandA_302,True,2019-05-15 12:00:00,"Fourth time reporting this bug where order #28899 keeps failing, fix your platform!",551.0,
2279,cust_MockBrandA_1234,True,2019-08-14 12:00:00,"Waiting on hold for 2 hours for order #77672, absolutely unacceptable support.",2280.0,
1790,cust_MockBrandA_965,True,2019-01-23 12:00:00,Saw an unexpected extra fee of $54.99 on my latest MockBrandA invoice.,1791.0,
257,@MockBrandASupport,False,2019-03-14 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,256.0
1641,cust_MockBrandA_886,True,2019-03-23 12:00:00,"Requested a refund on order #42716 a week ago, still nothing.",1642.0,
3182,cust_MockBrandB_379,True,2019-01-10 12:00:00,"Third time contacting MockBrandB about the same bug, no fix yet.",3183.0,
2796,cust_MockBrandB_167,True,2019-08-10 12:00:00,"Still waiting on my MockBrandB order #26874, it's been 12 days.",2797.0,
3240,cust_MockBrandB_412,True,2019-03-22 12:00:00,"MockBrandB keeps logging me out every few minutes, super annoying.",3241.0,
2417,@MockBrandASupport,False,2019-07-26 12:30:00,"Thanks for flagging this - please try updating to the latest app version, and DM us your device model if the crash continues.",,2416.0
1161,@MockBrandASupport,False,2019-07-23 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,1160.0
486,cust_MockBrandA_266,True,2019-01-24 12:00:00,I have been transferred between 4 different agents and none of you are resolving my case.,487.0,
1367,@MockBrandASupport,False,2019-07-25 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,1366.0
1304,@MockBrandASupport,False,2019-01-14 12:30:00,You can cancel anytime from Account > Subscription > Cancel. DM us if you don't see that option and we'll help directly.,,1303.0
918,@MockBrandASupport,False,2019-04-19 12:30:00,So sorry for the wait. Please DM your order number and we'll escalate the refund to our billing team right away.,,917.0
923,cust_MockBrandA_505,True,2019-06-11 12:00:00,"Extremely disappointed with MockBrandA support response time, this is the 3rd time I've written in.",924.0,
295,@MockBrandASupport,False,2019-01-10 12:30:00,Apologies for the delay! Please DM your order number and zip code so we can trace the package with the carrier.,,294.0
862,@MockBrandASupport,False,2019-03-11 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,861.0
736,cust_MockBrandA_402,True,2019-04-25 12:00:00,"Locked out of my MockBrandA account for 2 days now, no reset email arriving.",737.0,
1615,cust_MockBrandA_871,True,2019-05-18 12:00:00,"Requested a refund on order #45744 a week ago, still nothing.",1616.0,
52,cust_MockBrandA_27,True,2019-01-27 12:00:00,Why does the MockBrandA app keep logging me out every 5 minutes?,53.0,
3304,@MockBrandBCare,False,2019-07-13 12:30:00,"Sorry about that! Please clear your app cache and reinstall - if the issue continues, DM your account email.",,3303.0
837,@MockBrandASupport,False,2019-01-27 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,836.0
2911,cust_MockBrandB_229,True,2019-05-16 12:00:00,"Still waiting on my MockBrandB order #79520, it's been 12 days.",2912.0,
70,cust_MockBrandA_37,True,2019-09-19 12:00:00,"I noticed fraudulent unauthorized charges from MockBrandA on my card, my account was compromised!",71.0,
2846,@MockBrandBCare,False,2019-02-22 12:30:00,Sorry for the delay - DM your order number so we can chase this with our logistics partner.,,2845.0
1471,cust_MockBrandA_795,True,2019-03-19 12:00:00,"Extremely disappointed with MockBrandA support response time, this is the 3rd time I've written in.",1472.0,
2378,cust_MockBrandA_1290,True,2019-04-26 12:00:00,"Can't log in to check on my order #18681, app just spins forever.",2379.0,
2474,@MockBrandASupport,False,2019-09-24 12:30:00,Sorry for the trouble! Please try resetting your password from a private/incognito window - if it still fails DM us your registered email so we can look into your account.,,2473.0
1588,@MockBrandASupport,False,2019-06-11 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,1587.0
2901,cust_MockBrandB_224,True,2019-03-20 12:00:00,"Still waiting on my MockBrandB order #63368, it's been 12 days.",2902.0,
1242,@MockBrandASupport,False,2019-03-13 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,1241.0
2490,@MockBrandBCare,False,2019-08-19 12:30:00,Apologies for the surprise renewal. DM your order ID and we'll process a refund review.,,2489.0
942,@MockBrandASupport,False,2019-01-15 12:30:00,We're sorry about that. Please DM us your order number and the last 4 digits of the card used so we can investigate the duplicate charge.,,941.0
1887,@MockBrandASupport,False,2019-03-18 12:30:00,Apologies for the delay! Please DM your order number and zip code so we can trace the package with the carrier.,,1886.0
551,@MockBrandASupport,False,2019-07-27 12:30:00,We're really sorry to hear that. Please DM your case/order number so a senior agent can personally follow up.,,550.0
2192,cust_MockBrandA_1185,True,2019-02-15 12:00:00,How do I cancel my MockBrandA subscription? Can't find the option anywhere.,2193.0,
2278,cust_MockBrandA_1233,True,2019-03-15 12:00:00,"I demand to speak to a real human supervisor right now, your automated bots are useless!",2279.0,
2890,@MockBrandBCare,False,2019-03-17 12:30:00,"Sorry about that! Please clear your app cache and reinstall - if the issue continues, DM your account email.",,2889.0
624,cust_MockBrandA_342,True,2019-01-24 12:00:00,Why was I billed $41.99 when my plan is supposed to be $24.99?,625.0,
2526,cust_MockBrandB_21,True,2019-04-26 12:00:00,"MockBrandB auto-renewed my subscription without any warning email, want a refund.",2527.0,
